LANGUAGE_CODE ja-JP

MENU_MAIN_LOAD_GAME ロードゲーム
MENU_MAIN_NEW_GAME ニューゲーム
MENU_MAIN_CHARACTER キャラクター
MENU_MAIN_OPTIONS オプション
MENU_MAIN_EXIT_GAME 終了
MENU_MAIN_VERSION Scrap Mechanic BETA Ver
MENU_MAIN_COPYRIGHT © 2016 Axolot Games. All rights reserved

MENU_INGAME_EXIT 終了
MENU_INGAME_OPTIONS オプション
MENU_INGAME_INVITE_FRIEND フレンド招待
MENU_INGAME_RESUME 再開

MENU_LOAD_SAVED_GAMES セーブゲーム
MENU_LOAD_LOAD ロード
MENU_LOAD_DELETE 削除

MENU_NEW_WORLD_NAME ワールド名
MENU_NEW_TERRAIN 地形
MENU_NEW_FLAT フラット
MENU_NEW_PRIVATE プライベート
MENU_NEW_SETTINGS 設定
MENU_NEW_CREATE クリエイト
MENU_NEW_MODE_CREATIVE クリエイティブ

MENU_SETTINGS_SETTINGS カスタム設定
MENU_SETTINGS_PLAYERS プレーヤー
MENU_SETTINGS_BEARINGS ベアリング
MENU_SETTINGS_THRUSTERS スラスター
MENU_SETTINGS_BEARINGS_PER_OBJECT オブジェクトごとベアリング
MENU_SETTINGS_GAS_ENGINES ガスエンジン
MENU_SETTINGS_ELECTRIC_ENGINES 電気エンジン
MENU_SETTINGS_CONTROLLERS コントローラ
MENU_SETTINGS_DRIVERS_SEATS ドライバーシート
MENU_SETTINGS_SUSPENSIONS サスペンション

MENU_YN_MESSAGE_CONFIRM よろしいですか？
MENU_YN_MESSAGE_CONFIRM_DELETE よろしいですか？
MENU_YN_MESSAGE_RESTORE_CONTROLS デフォルト値にすべての制御設定を復元しますか？
MENU_YN_MESSAGE_RESTORE_AUDIO デフォルト値にすべてのオーディオ設定を復元しますか？
MENU_YN_MESSAGE_RESTORE_DISPLAY デフォルト値にすべてのディスプレイ設定を復元しますか？
MENU_YN_MESSAGE_RESTORE_GRAPHICS デフォルト値にすべてのグラフィックス設定を復元しますか？
MENU_YN_MESSAGE_ACCEPT_DISPLAY これらの設定を受け入れますか？
MENU_YN_MESSAGE_DELETE_BLUEPRINT この青写真を削除しますか？
MENU_YN_MESSAGE_OVERWRITE_BLUEPRINT 作成は、この名前が既に存在し、それを上書きしますか？
MENU_YN_MESSAGE_DELETE_FROM_LIFT リフトからこの作成を削除しますか？
MENU_YN_YES はい
MENU_YN_NO いいえ
MENU_YN_CANCEL キャンセル

MENU_OPTION_OFF オフ
MENU_OPTION_ON オン
MENU_OPTION_LOW ロー
